COUNTRY_NAME,Average of overall_score
Singapore,78.1
Hong Kong,63.03333333
Netherlands,61.99230769
Switzerland,58.18181818
Belgium,54.6
Denmark,53.15714286
Germany,51.60416667
Sweden,51.21666667
Luxembourg,51
Australia,49.74324324
United States of America,49.17458564
Macao,48
Qatar,47
Canada,46.52666667
Norway,46.48
Finland,46.01111111
United Kingdom,44.46831683
Ireland,44.36666667
Brunei Darussalam,44
Austria,43.95454545
Iceland,43.5
Uganda,43
New Zealand,42.975
France,40.25609756
Italy,40.1
Costa Rica,38
Jamaica,38
Israel,37.95714286
Cyprus,37
South Africa,36.84545455
United Arab Emirates,35.8
China,34.60549451
Grand Total,34.47359109
Estonia,34
Kenya,34
Saudi Arabia,34
South Korea,32.95142857
Portugal,32.91666667
Greece,32.4
Sri Lanka,32
Malta,31
Spain,29.866
Nigeria,29.33333333
Nepal,29
Peru,29
Lebanon,28.25
Jordan,28
Puerto Rico,28
Hungary,27.88888889
Malaysia,27.26666667
Philippines,27
India,26.34920635
Iran,26.31914894
Taiwan,26.08684211
Northern Cyprus,26
Oman,26
Serbia,25.5
Russia,24.49791667
Egypt,24.42857143
Pakistan,24.3125
Croatia,24
Japan,23.71810345
Venezuela,23.5
Latvia,23
Lithuania,23
Ukraine,22.66666667
Slovenia,22.5
Vietnam,22.33333333
Turkey,22.25581395
Algeria,21.9
Chile,21.76190476
Mexico,21.375
Georgia,21
Thailand,21
Brazil,20.98076923
Romania,20.84615385
Poland,20.73684211
Colombia,20.66666667
Bangladesh,20.5
Indonesia,20.44444444
Czech Republic,20.33333333
Tunisia,19.83333333
Argentina,19.25
Bulgaria,18
Ghana,18
Morocco,17.8
Slovakia,16.83333333
Iraq,16.33333333
Kazakhstan,15.66666667
Botswana,15
Cuba,15
Kuwait,12
Belarus,11
Montenegro,11
